wid,title,start_at,end_at,scope_type,attachments
ly5XdtUiOz8wa7xc,FY23 节日档期促销,1667232000,1673279999,公开,"[{'name': 'FY23 Holiday 饮品附录', 'url': 'https://starbucks.joywok.com/api/file/download?id=TGAjvg6sWEn6CqEF', 'file_type': 'jw_n_doc'}, {'name': '图片1', 'url': 'https://starbucks.joywok.com/api/file/download?id=jbAIv6S8v9EdqxmX', 'file_type': 'jw_n_image'}, {'name': 'FY23 Holiday workbook- 1018上传', 'url': 'https://starbucks.joywok.com/api/file/download?id=K5YaD40vwKSzd6C5', 'file_type': 'jw_n_doc'}, {'name': 'FY23 节日氛围物料指引', 'url': 'https://starbucks.joywok.com/api/file/download?id=nhWpFrDDIwZkbaGc', 'file_type': 'jw_n_doc'}]"
aglOZaREQrwSukAz,FY24 节日档期促销,1698940800,1704211199,公开,"[{'name': 'FY24 Holiday 饮品附录', 'url': 'https://starbucks.joywok.com/api/file/download?id=N1czrpj8f8iPkQm9', 'file_type': 'jw_n_doc'}, {'name': '图片1', 'url': 'https://starbucks.joywok.com/api/file/download?id=q0xUaupPYteureES', 'file_type': 'jw_n_image'}, {'name': 'FY24 Holiday Wave2 POP list', 'url': 'https://starbucks.joywok.com/api/file/download?id=MsuHiPhNad6Qa3KA', 'file_type': 'jw_n_doc'}, {'name': '不同材质和类型的商品盛装水的温度建议范围', 'url': 'https://starbucks.joywok.com/api/file/download?id=RBb2sdnEO5TYCXL8', 'file_type': 'jw_n_doc'}, {'name': 'FY24Holiday档期第一波吧台定位及出品台布置指引', 'url': 'https://starbucks.joywok.com/api/file/download?id=lk6y2ulCNrOZ3Fod', 'file_type': 'jw_n_doc'}, {'name': 'FY24 Holiday节日氛围物料指引', 'url': 'https://starbucks.joywok.com/api/file/download?id=YsqeC62skbgA8f0m', 'file_type': 'jw_n_doc'}, {'name': 'FY24节日档期限量红围裙指引', 'url': 'https://starbucks.joywok.com/api/file/download?id=55Hq558CwiP38WmX', 'file_type': 'jw_n_doc'}, {'name': 'FY24 Holiday 第二波 饮品附录', 'url': 'https://starbucks.joywok.com/api/file/download?id=oZ5A5vIzvrPl6HUr', 'file_type': 'jw_n_doc'}, {'name': 'FY24Holiday档期第二波吧台定位及出品台布置指引', 'url': 'https://starbucks.joywok.com/api/file/download?id=djRZMaoeMpC0iT1j', 'file_type': 'jw_n_doc'}]"
